mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Kryzhanovskite,Wolfeite,0.775631534993,Phosphoferrite,0.711286759159,Whiteite-(CaMnMg),0.707106781187,Barbosalite,0.684762383262,Perloffite,0.674199862463,Metavivianite,0.615457454897,Jahnsite-(CaMnMg),0.609271795845,Ushkovite,0.586301969978,Tavorite,0.585369407005,Parascholzite,0.569802882298
Ktenasite,Gunningite,0.495940971093,Schulenbergite,0.441054277136,Graemite,0.401128726619,Serpierite,0.40094451135,Stannoidite,0.385922492494,Lime,0.385922492494,Henryite,0.385922492494,Velikite,0.385922492494,Bogdanovite,0.385922492494,Nekrasovite,0.385922492494
Kuksite,Dugganite,0.695048046857,Housleyite,0.64605828247,Burckhardtite,0.636146425163,Yafsoanite,0.628694613462,Khinite,0.609109590102,Raspite,0.565825152116,Auriacusite,0.551677284367,Joelbruggerite,0.551677284367,Mawbyite,0.551677284367,Mojaveite,0.541736338886
Kulanite,Bjarebyite,0.738548945876,Palermoite,0.674199862463,Nizamoffite,0.674199862463,Hagendorfite,0.674199862463,Samuelsonite,0.674199862463,Foggite,0.674199862463,Keckite,0.674199862463,Natropalermoite,0.674199862463,Goedkenite,0.674199862463,Paulscherrerite,0.569802882298
Kupletskite,Lorenzenite,0.829156197589,Zircophyllite,0.75,Gaidonnayite,0.693375245282,Serandite,0.648181216088,Narsarsukite,0.614918693812,Thorbastnasite,0.612372435696,Brenkite,0.612372435696,Eggletonite,0.612372435696,Paranatrolite,0.612372435696,Lavenite,0.57735026919
Kuramite,Velikite,0.57735026919,Lime,0.57735026919,Henryite,0.57735026919,Bogdanovite,0.57735026919,Stannoidite,0.57735026919,Nekrasovite,0.57735026919,Kiddcreekite,0.540061724867,Hocartite,0.526361355968,Hodrusite,0.507092552837,Rhodostannite,0.503952630679
Kuranakhite,Mcalpineite,0.684653196881,Chekhovichite,0.612372435696,Bezsmertnovite,0.612372435696,Plumbotellurite,0.612372435696,Denningite,0.612372435696,Thorneite,0.53033008589,Xocomecatlite,0.51031036308,Agaite,0.51031036308,Andychristyite,0.51031036308,Billingsleyite,0.51031036308
Kurnakovite,Inderite,1.0,Tunellite,0.750555349947,Mazzite-Na,0.73029674334,Wardsmithite,0.716114874039,Meyerhofferite,0.660578259076,Kernite,0.653197264742,Gerstleyite,0.653197264742,Tincalconite,0.612825877028,Gmelinite-Na,0.596284794,Inyoite,0.592220092264
Kurumsakite,Kamchatkite,1.0,Fedotovite,1.0,Retgersite,0.623609564462,Clinosafflorite,0.606091526731,Hornesite,0.529150262213,Hydrotungstite,0.507092552837,Mopungite,0.507092552837,Nickelskutterudite,0.460566186472,Greigite,0.4472135955,Ullmannite,0.436435780472
Kutnohorite,Sonolite,0.464734291217,Alleghanyite,0.442012217747,Pyroxmangite,0.441305245949,Caryopilite,0.413167122006,Tephroite,0.341046418107,Jacobsite,0.334783065762,Manganhumite,0.319801074533,Friedelite,0.314626602483,Grunerite,0.287409851265,Pyrophanite,0.27136021012
