mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Covellite,Hauerite,0.00726725186954,Jamborite,0.00736749456171,Heklaite,0.00835395359824,Faujasite-Na,0.00902330117946,Willhendersonite,0.00902330117946,Metahohmannite,0.0098845311983,Kremersite,0.0098845311983,Sabieite,0.0098845311983,Jimthompsonite,0.0098845311983,Ammoniomagnesiovoltaite,0.0098845311983
Cowlesite,Strunzite,0.012515654358,Hydroxylherderite,0.0126836572358,Gold,0.0160660502138,Bavenite,0.0167038276195,Petalite,0.0172516389836,Fluorite,0.0180879446689,Halloysite-7A,0.0187120297141,Galena,0.0190611709378,Messelite,0.019090088708,Benitoite,0.0192879187453
Coyoteite,Quartz,0.0100822538373,Muscovite,0.0113776024798,Gold,0.0119482862206,Goethite,0.01449047112,Scheelite,0.0145632783882,Chalcopyrite,0.0146765522077,Azurite,0.0148107520656,Galena,0.0150096186189,Silver,0.0150138472761,Pyrite,0.0150312222128
Crandallite,Hauerite,0.0114265195032,Norbergite,0.0115841341143,Fluor-uvite,0.012906718211,Fluoro-edenite,0.0131351734373,Temagamite,0.0159454957745,Warwickite,0.0168573912475,Sinhalite,0.0179460634019,Calumetite,0.0185759404192,Hendricksite,0.0192771643989,Fluoro-pargasite,0.0200643088476
Creaseyite,Minnesotaite,0.0160046099916,Wodginite,0.0168549965616,Halloysite-7A,0.0175035010504,Messelite,0.0178571428571,Whitmoreite,0.0195217202361,Rockbridgeite,0.0198889321044,Babingtonite,0.0201455741006,Greenalite,0.0202776776413,Hauerite,0.0205498734132,Norbergite,0.0208333333333
Crednerite,Wodginite,0.0208062594644,Beryllonite,0.0238095238095,Whitmoreite,0.0240981346356,Ancylite-(Ce),0.0247083105554,Norbergite,0.0257172249937,Xanthoxenite,0.0260820265479,Moraesite,0.0264628062012,Phosphophyllite,0.0264628062012,Ferrostrunzite,0.028171808491,Fluor-uvite,0.0286534127531
Creedite,Minnesotaite,0.0153033341946,Wodginite,0.0161164592805,Halloysite-7A,0.0167365481751,Messelite,0.0170746944191,Whitmoreite,0.0186663348237,Chromite,0.0191876283945,Greenalite,0.0193891683582,Hauerite,0.0196494372973,Norbergite,0.0199204768222,Xanthoxenite,0.020203050891
Crichtonite,Gold,0.0059741431103,Sphalerite,0.00816190566832,Malachite,0.00990511768681,Quartz,0.0100822538373,Hematite,0.0101797319712,Carnotite,0.0118594677827,Pyrite,0.0120249777703,Fluorite,0.0121067682133,Dolomite,0.0134185885628,Chalcocite,0.0143003138953
Crimsonite,Chalcopyrite,0.0100483483882,Galena,0.0102763833714,Magnetite,0.0136141602821,Gold,0.0136340539303,Microcline,0.0137914636571,Quartz,0.0138056946429,Hematite,0.0139391720749,Chrysotile,0.0140358653511,Chromite,0.0145640506277,Albite,0.014580296088
Cristobalite,Moraesite,0.00942641475769,Braggite,0.0103874031477,Jahnsite-(CaMnFe),0.011994340007,Schoonerite,0.0122905411521,Stibiopalladinite,0.0133309635949,Paravauxite,0.0133309635949,Landesite,0.0137412427482,Tulameenite,0.0137412427482,Rhodium,0.0141918944854,Kastningite,0.0141918944854
Crocoite,Minnesotaite,0.0179287492991,Aguilarite,0.0180775381516,Wodginite,0.0188813728012,Eudialyte,0.0204251842551,Beryllonite,0.0216067907851,Chromite,0.0224794266893,Greenalite,0.0227155425212,Hauerite,0.0230204627758,Lipscombite,0.0233380014005,Norbergite,0.0233380014005
Cronstedtite,Gold,0.018512396365,Quartz,0.0204277351794,Galena,0.0214666647479,Pyrite,0.0214975620758,Chalcopyrite,0.0227395081374,Baryte,0.0256737928749,Minnesotaite,0.0272975545216,Domeykite,0.0282391247362,Fluorite,0.0288583764201,Hematite,0.0291179808092
Cronusite,Gold,0.00333964752548,Quartz,0.00563615123665,Muscovite,0.00636027314143,Pyrite,0.00672216693055,Epidote,0.00714504473634,Scheelite,0.00814112011282,Chalcopyrite,0.00820444210296,Galena,0.00839063188704,Silver,0.00839299577831,Microcline,0.00844551219151
Cryolite,Glaucophane,0.0107882963001,Lawsonite,0.0121987509119,Strunzite,0.0135184517609,Eosphorite,0.014580296088,Pumpellyite-(Mg),0.0148872833544,Jadeite,0.0153864363724,Laueite,0.0160375074775,Laurite,0.0175035010504,Stewartite,0.0176336403965,Bementite,0.0183308893777
Cryolithionite,Gold,0.0109072431442,Pyrite,0.0109772526304,Sphalerite,0.0111761496169,Chalcopyrite,0.013397797851,Galena,0.0137018444952,Quartz,0.0138056946429,Chrysotile,0.0140358653511,Marcasite,0.0157280537875,Anthophyllite,0.0159637714204,Malachite,0.0180841879727
Cryptohalite,Gold,0.00504907246802,Tetrahedrite,0.0064925483959,Cinnabar,0.00805639884854,Malachite,0.00837135235659,Quartz,0.00852105972784,Baryte,0.00910295402377,Chlorargyrite,0.00913213448453,Calcite,0.00934013080966,Muscovite,0.00961582914439,Fluorite,0.0102320866665
Cryptomelane,Fluoro-pargasite,0.0139863559716,Potassic-pargasite,0.0139863559716,Dewindtite,0.0146082723774,Potassic-fluoro-richterite,0.0146082723774,Melanophlogite,0.0147771597497,Idrialite,0.0153212853259,Hauerite,0.0159303139223,Jamborite,0.0161500527704,Tolovkite,0.0161500527704,Schultenite,0.0161500527704
Cubanite,Norbergite,0.0100871255445,Fluor-uvite,0.0112387931353,Tavorite,0.0118694884586,Arrojadite-(KFe),0.0129034943523,Barbosalite,0.0138848718566,Warwickite,0.0146789237925,Parasymplesite,0.0146789237925,Wolfeite,0.0146789237925,Sinhalite,0.0156269076979,Stanfieldite,0.0156269076979
Cumengeite,Dolomite,0.00866166167225,Magnetite,0.00962666505566,Microcline,0.00975203747442,Tetrahedrite,0.00991753149246,Chromite,0.0102983389604,Muscovite,0.011016316231,Marcasite,0.011121413488,Rutile,0.012150031499,Almandine,0.0136883593726,Graphite,0.0137115011632
Cummingtonite,Hauerite,0.0111601304493,Millisite,0.0160005120246,Daubreeite,0.0160005120246,Zincolivenite,0.0164643910426,Aguilarite,0.017527682735,Stanfieldite,0.017527682735,Wakabayashilite,0.0181428752857,Juanitaite,0.0181428752857,Chenevixite,0.0186492853439,Eitelite,0.018827751471
Cuprite,Hauerite,0.00739666012646,Jamborite,0.00749868784443,Heklaite,0.00850271279814,Faujasite-Na,0.00918397947963,Stistaite,0.00918397947963,Willhendersonite,0.00918397947963,Metahohmannite,0.0100605454573,Cabriite,0.0100605454573,Lanthanite-(Ce),0.0100605454573,Clairite,0.0100605454573
Cuprobismutite,Uvarovite,0.0101892393242,Bementite,0.0112253313767,Neotocite,0.0129618961841,Glaucophane,0.0132129105645,Colemanite,0.0138039407594,Lawsonite,0.0149403576167,Ulexite,0.0155643201591,Sperrylite,0.0156863951285,Shattuckite,0.0175899386183,Jadeite,0.0188444590361
Cuprocopiapite,Gold,0.0166725282394,Quartz,0.0171950580831,Almandine,0.0197270254345,Fluorapatite,0.0217237362652,Carnotite,0.022064789082,Rockbridgeite,0.022064789082,Ilmenite,0.0222728059352,Beryl,0.0223813220755,Baryte,0.0233790972476,Arsenopyrite,0.0238528335748
Cupropavonite,Minnesotaite,0.0233762291106,Wodginite,0.0246182981959,Halloysite-7A,0.0255654996282,Messelite,0.0260820265479,Eudialyte,0.0266311820646,Whitmoreite,0.0285132974256,Babingtonite,0.0294244943168,Greenalite,0.029617443888,Quartz,0.029841455975,Hauerite,0.0300150112594
Cuprorivaite,Gold,0.0155850217856,Pyrite,0.0156850561713,Vivianite,0.0158371446049,Quartz,0.0169084537099,Arsenopyrite,0.0172005229038,Chromite,0.017837246313,Fluorite,0.0180477044752,Annite,0.0186630836985,Gahnite,0.0187812056606,Chalcopyrite,0.0191436982402
Cuprosklodowskite,Babingtonite,0.0129034943523,Gold,0.0181822341489,Minnesotaite,0.0205023092026,Wodginite,0.0215916758544,Grunerite,0.0235457120173,Quartz,0.0243676752865,Sillimanite,0.0244079646225,Whitmoreite,0.025007816164,Stilpnomelane,0.0253184841771,Ancylite-(Ce),0.025641025641
